cheep	A chirp, peep, or squeak, as of a young bird or mouse.
hertz	a unit of frequency equal to one cycle per second; it is abbreviated Hz.  It is commonly used to specify the frequency of radio waves, and also the clock frequencies in digital computers.  For these applications, kilohertz and megahertz are the most commonly used units, derived from hertz.
sifac	The white indris of Madagascar. It is regarded by the natives as sacred.
choir	A band or organized company of singers, especially in church service.
dwarf	An animal or plant which is much below the ordinary size of its species or kind.
scour	Diarrhoea or dysentery among cattle.
shoot	The act of shooting; the discharge of a missile; a shot; as, the shoot of a shuttle.
vogle	Same as Vugg.
guige	See Gige.
gorse	Furze. See Furze.
layer	One who, or that which, lays.
vague	A wandering; a vagary.
kotow	Same as kowtow, the more common spellings.
nanna	The wife of Balder.
potoo	A large South American goatsucker (Nyctibius grandis).
tuque	A kind of warm cap winter wear, made from a knit bag with closed tapered ends by pushing one end within the other, thus making a conical cap of double thickness.
booly	A company of Irish herdsmen, or a single herdsman, wandering from place to place with flocks and herds, and living on their milk, like the Tartars; also, a place in the mountain pastures inclosed for the shelter of cattle or their keepers.
eleve	A pupil; a student.
oxlip	The great cowslip (Primula veris, var. elatior).
spuke	See Spook.
udder	The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma.
yufts	Russia leather.
gaper	One who gapes.
psora	A cutaneous disease; especially, the itch.
silva	A description or history of the forest trees of a country.
tease	One who teases or plagues.
jeers	See 1st Jeer (b).
spall	A chip or fragment, especially a chip of stone as struck off the block by the hammer, having at least one feather-edge.
scray	A tern; the sea swallow.
gleet	A transparent mucous discharge from the membrane of the urethra, commonly an effect of gonorrhea.
kinit	A unit of force equal to the force which, acting for one second, will give a pound a velocity of one foot per second; -- proposed by J. D. Everett, an English physicist.
pewit	The pewee.
scalp	That part of the integument of the head which is usually covered with hair.
tabby	A kind of waved silk, usually called watered silk, manufactured like taffeta, but thicker and stronger.  The watering is given to it by calendering.
verso	The reverse, or left-hand, page of a book or a folded sheet of paper; -- opposed to recto.
cyder	See Cider.
flyer	One that uses wings.
rubin	A ruby.
shrew	Originally, a brawling, turbulent, vexatious person of either sex, but now restricted in use to females; a brawler; a scold.
acton	A stuffed jacket worn under the mail, or (later) a jacket plated with mail.
cream	The rich, oily, and yellowish part of milk, which, when the milk stands unagitated, rises, and collects on the surface. It is the part of milk from which butter is obtained.
mends	See Amends.
odium	Intense hatred or dislike; loathing; abhorrence.
pease	A pea.
pilon	A conical loaf of sugar.
spoor	The track or trail of any wild animal; as, the spoor of an elephant; -- used originally by travelers in South Africa.
riser	One who rises; as, an early riser.
saver	One who saves.
start	A Treaty between the United States and the Soviet Union which provided for stepwise reductions in the number of nuclear weapons possessed by each country.
shude	The husks and other refuse of rice mills, used to adulterate oil cake, or linseed cake.
prude	A woman of affected modesty, reserve, or coyness; one who is overscrupulous or sensitive; one who affects extraordinary prudence in conduct and speech.
soree	Same as Sora.
tunny	The chiefly British equivalent of tuna; any one of several species of large oceanic fishes belonging to the Mackerel family, especially the common or great tunny (Thunnus thynnus syn. Albacora thynnus, formerly Orcynus thynnus) native of the Mediterranean Sea and the Atlantic Ocean.  It sometimes weighs a thousand pounds or more, and is extensively caught in the Mediterranean.  On the American coast it is called horse mackerel. See Illust. of Horse mackerel, under Horse.
ester	An ethereal salt, or compound ether, consisting of an organic radical united with the residue of any oxygen acid, organic or inorganic; thus the natural fats are esters of glycerin and the fatty acids, oleic, etc.
gazon	One of the pieces of sod used to line or cover parapets and the faces of earthworks.
juger	A Roman measure of land, measuring 28,800 square feet, or 240 feet in length by 120 in breadth.
kvass	A thin, sour beer, made by pouring warm water on rye or barley meal and letting it ferment, -- much used by the Russians.
knack	A petty contrivance; a toy; a plaything; a knickknack.
mense	Manliness; dignity; comeliness; civility.
board	A piece of timber sawed thin, and of considerable length and breadth as compared with the thickness, -- used for building, etc.
knurl	A contorted knot in wood; a crossgrained protuberance; a nodule; a boss or projection.
music	The science and the art of tones, or musical sounds, i. e., sounds of higher or lower pitch, begotten of uniform and synchronous vibrations, as of a string at various degrees of tension; the science of harmonical tones which treats of the principles of harmony, or the properties, dependences, and relations of tones to each other; the art of combining tones in a manner to please the ear.
salep	The dried tubers of various species of Orchis, and Eulophia. It is used to make a nutritious beverage by treating the powdered preparation with hot water.
crock	nonsense; balderdash; humbug; -- usually used in the phrase a crock.
exody	Exodus; withdrawal.
corve	See Corf.
glume	The bracteal covering of the flowers or seeds of grain and grasses; esp., an outer husk or bract of a spikelet.
lakin	See Ladykin.
simia	A Linnaean genus of Quadrumana which included the types of numerous modern genera. By modern writers it is usually restricted to the genus which includes the orang-outang.
taxor	Same as Taxer, n., 2.
knock	A blow; a stroke with something hard or heavy; a jar.
scrog	A stunted shrub, bush, or branch.
curch	See Courche.
clank	A sharp, brief, ringing sound, made by a collision of metallic or other sonorous bodies; -- usually expressing a duller or less resounding sound than clang, and a deeper and stronger sound than clink.
hocus	One who cheats or deceives.
nonny	A silly fellow; a ninny.
swine	Any animal of the hog kind, especially one of the domestical species. Swine secrete a large amount of subcutaneous fat, which, when extracted, is known as lard. The male is specifically called boar, the female, sow, and the young, pig. See Hog.
donor	One who gives or bestows; one who confers anything gratuitously; a benefactor.  Inverse of recipient.
gleba	The chambered sporogenous tissue forming the central mass of the sporophore in puff balls, stinkhorns, etc.
maser	Same as Mazer.
maker	One who makes, forms, or molds; a manufacturer; specifically, the Creator.
quirk	A sudden turn; a starting from the point or line; hence, an artful evasion or subterfuge; a shift; a quibble; as, the quirks of a pettifogger.
cloud	A collection of visible vapor, or watery particles, suspended in the upper atmosphere.
disme	A tenth; a tenth part; a tithe.
hater	One who hates.
loran	A system of electronic navigation in which a vessel or aircraft determines its latitude and longitude by measuring the time differences between low frequency radio transmissions from two stationary transmitters (slaves) and a stationary master transmitter.  Contrary to the name, Loran is a medium range system, usually effective for no more than a few hundred miles from shore.  The first commercial system was called Loran A; the latest (and final) development is Loran C.
